"","x"
"1",173427907.273921
"2",247913015.637405
"3",222294733.857142
"4",201912825.428347
"5",295994049.491913
"6",173120032.547084
"7",256402135.447004
"8",287348519.88516
"9",232838086.991608
"10",287964049.09801
