"","x"
"1",310191355.941731
"2",319163843.667128
"3",286998545.630722
"4",288838455.591912
"5",276476883.959269
"6",299502539.881635
"7",271167446.273374
"8",328438441.843172
"9",405660557.771792
"10",320039203.793629
