"","x"
"1",643962546.779933
"2",660334359.904939
"3",681954624.853098
"4",633517855.133188
"5",576983043.824618
"6",685223088.268081
"7",657854420.550754
"8",710134941.740248
"9",759788587.703198
"10",703784749.190882
