"","x"
"1",667445713.241227
"2",956562573.513476
"3",822208278.258635
"4",829525350.166494
"5",962456761.983639
"6",773833467.346382
"7",981722956.142897
"8",1052544544.45941
"9",1094861598.16174
"10",1129354482.33508
