"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Health_Consciousness_Rate",1.35837748535645,1.58766210118675,-0.224559125976756,2.38352729816547,0.0202020202020202,"Rejected"
"Sulphate_content",1.51034561382099,1.51892852389638,0.430151118586866,2.79751957573032,0.0202020202020202,"Rejected"
"Personal_Consumption_Expenditures",4.6792750368486,4.73066690008511,3.12849009131356,5.75267740273913,1,"Confirmed"
"Population_growth",4.42439799033338,4.40179703429712,3.4327544334777,5.4957415938061,0.96969696969697,"Confirmed"
"Consumer_Price_Index_Urban",5.01429956946343,5.00942296395975,3.77124380444856,6.15320851779981,1,"Confirmed"
"Total_Market_Size_Monthly",4.5551692662667,4.59938279174888,3.38284945241448,5.7581771302999,1,"Confirmed"
"Market_Share",3.89475667100656,3.91050589815827,2.02978385682478,5.1891645229335,0.939393939393939,"Confirmed"
"Price_Per_Unit",4.67924367156156,4.72934897133417,3.63458168660755,5.70119143444947,1,"Confirmed"
"Advertising_costs",0.727182329134235,0.910396041730772,-1.10264397085065,2.73500089307654,0,"Rejected"
"Number_of_Distributors",5.8646985580402,5.90567284037493,4.80799845442723,7.26598319720666,1,"Confirmed"
"Number_of_Retail_Locations",6.93501405775575,6.85124524158815,5.73154342735022,8.16101355998661,1,"Confirmed"
"Discount_Percentage",3.03682132940279,3.00295932476162,1.35376923652026,4.58898246626047,0.727272727272727,"Confirmed"
"Temperature",-0.000839066731134752,0.0284276738091949,-2.2302220608683,1.36206729684937,0,"Rejected"
"NORTH_REGION",3.74497463974378,3.79944414574412,2.29747259878695,5.21720031361826,0.97979797979798,"Confirmed"
