"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Health_Consciousness_Rate",3.1698600956354,3.30936065776617,0.465855653033515,4.92989950366512,0.909090909090909,"Confirmed"
"Sulphate_content",2.1133004309306,2.17760874191302,0.591047714852952,3.34842042680578,0.565656565656566,"Confirmed"
"Personal_Consumption_Expenditures",6.6163008790189,6.63119562361672,4.83606334712136,7.85965144788426,1,"Confirmed"
"Population_growth",6.59287108281947,6.58854768487517,5.49355862719038,7.73679392753028,1,"Confirmed"
"Consumer_Price_Index_Urban",6.87421741176058,6.98214438676095,5.90930310293493,8.39554560377265,1,"Confirmed"
"Total_Market_Size_Monthly",6.11732294342469,6.16867409585503,4.90405107658836,7.15215917964786,1,"Confirmed"
"Market_Share",4.0433156639361,4.04343931010247,3.02002864040559,5.15809973461922,1,"Confirmed"
"Price_Per_Unit",3.71197444841785,3.74539887110094,2.57941355280426,5.10615374068253,0.98989898989899,"Confirmed"
"Advertising_costs",0.762283406795435,0.33161162807025,-0.874149067854505,4.51710246667896,0.0707070707070707,"Rejected"
"Number_of_Distributors",5.08047862894788,5.06540320835246,3.90910916003144,6.14487957846187,1,"Confirmed"
"Number_of_Retail_Locations",5.84143242153261,5.79342464578941,4.85111809970699,7.15968716452603,1,"Confirmed"
"Discount_Percentage",2.39423104710821,2.5048095165532,0.311383842207381,3.76031678339792,0.696969696969697,"Confirmed"
"Temperature",-0.190228741972463,-0.0823234109256734,-1.35628762947802,1.46120223690587,0,"Rejected"
"NORTH_REGION",0.903669859324305,1.45013059992001,-1.52579467999705,2.01753073692449,0,"Rejected"
