"","x"
"1",246633304.744328
"2",322916210.835284
"3",279144309.091603
"4",320987211.791759
"5",280772046.606273
"6",351637074.989346
"7",423245698.884254
"8",312739757.334147
"9",499529032.721932
"10",410285197.495708
