"","x"
"1",300482963.049547
"2",316261027.89329
"3",396098924.413026
"4",325466767.740712
"5",275386588.114378
"6",384423962.481442
"7",375843899.06525
"8",383944833.893266
"9",355173494.559507
"10",381004506.956887
