"","x"
"1",257591129.026637
"2",265356758.399614
"3",275695144.138295
"4",311587006.24776
"5",313434678.658997
"6",266332601.832445
"7",300586126.364808
"8",327875015.275087
"9",282630527.264618
"10",289162715.692712
